"id","lang","official","title","latin"
v31135,ja,true,アイドル無惨 〜散らされる処女〜,Idol Muzan ~Chirasareru Shojo~
v31136,ja,true,創作彼女の恋愛公式,Sousaku Kanojo no Ren'ai Koushiki
v31136,zh-Hans,false,创作少女的恋爱公式,Chuangzuo Shaonü de Lian'ai Gongshi
v31136,zh-Hant,false,創作彼女的戀愛方程式,Chuangzuo Binü de Lian'ai Fangchengshi
v31137,ja,true,たとえ明日が晴れなくても。,Tatoe Asu ga Harenakutemo.
v31138,en,true,OshiRabu: Waifus Over Husbandos ~Love･or･die~,
v31138,ja,true,推しのラブより恋のラブ ～ラブ・オア・ダイ～,Oshi no Love yori Koi no Love ~Love or Die~
v31138,ko,true,최애의 러브보다 사랑의 러브 ~사랑 or 죽음~,Choeaeui Love-boda Sarang-ui Love ~Sarang or Jugeum~
v31138,zh-Hans,true,一生推不如一生恋~love or die~,Yisheng Tui Buru Yisheng Lian ~love or die~
v31138,zh-Hant,true,一生推不如一生戀~love or die~,Yisheng Tui Buru Yisheng Lian ~love or die~
v31139,ja,true,おばあちゃん、ママはさせてくれたよ？ ～息子みたいに奪わせないわ！～,"Obaa-chan, Mama wa Sasete Kureta yo? ~Musuko Mitai ni Ubawasenai wa!~"
v31140,en,true,The Airline Romance,
v31141,en,true,Garfpg: Garf Play the Game,
v31142,ja,true,妖界学怨,Youkai Gakuen
v31143,ja,true,花一華 -はないちげ-,Hana Ichige
v31144,en,true,Northern Blades,
v31145,ja,true,トリカゴセヴンデイズ,Torikago Seven Days
v31146,en,true,The Hidden Village of Witches and Catgirls,
v31146,ja,true,魔女と猫の隠れ里,Majo to Neko no Kakurezato
v31146,zh-Hans,true,魔女与猫的桃源乡,Monu yu mao de taoyuan xiang
v31147,pt-br,true,Natal Explorers,
v31148,en,true,Rivals in the Reality Show,
v31149,en,true,Night Cascades,
v31150,en,true,Halloween Galaxy,
v31151,en,true,Blood Moon Calling,
v31152,en,true,Sealed with a Dragon's Kiss,
v31153,en,true,The Rondo of Oblivion,
v31154,en,true,Crime Opera II: The Floodgate Effect,
v31155,ja,true,皆月夏希は貸出中!,Minazuki Natsuki wa Kashidashichuu!
v31156,en,true,Hexed Pet: Hedgehog,
v31157,en,false,Higurashi When They Cry - Console Arcs,
v31157,ja,true,ひぐらしのなく頃に: Console Arcs,Higurashi no Naku Koro ni: Console Arcs
v31160,ru,true,Milk outside a bag of milk outside a bag of milk,
v31161,ko,true,싸이코가 애정표현하는 방법,Psycho-ga Aejeongpyohyeonhaneun Bangbeop
v31162,en,true,Devil's Propose,
v31162,ko,true,악마의 프로포즈,Agmaui Propose
v31163,en,true,Only Girl in High School,
v31164,en,true,Starry Love,
v31164,zh-Hans,true,星途恋曲,Xing tu Lian qu
v31165,en,true,MOOZ,
v31165,ja,true,MOOZ,
v31166,ja,true,彼女系生命進化論パーフェクト☆ガール,Kanojo-kei Seimei Shinkaron Perfect☆Girl
