"id","vid","relation","official"
v106,v1149,seq,true
v106,v1150,ser,true
v106,v20205,preq,true
v109,v140,set,true
v109,v5563,char,true
v109,v5564,preq,true
v114,v1793,preq,true
v115,v10917,ser,true
v118,v132,ser,true
v124,v31417,fan,true
v125,v1402,char,true
v125,v1403,seq,true
v126,v9650,char,true
v127,v4067,seq,true
v128,v43,preq,true
v128,v129,seq,true
v128,v50859,char,false
v128,v50860,char,false
v129,v128,preq,true
v129,v130,ser,true
v129,v50859,char,false
v129,v50860,char,false
v130,v129,ser,true
v130,v817,ser,true
v130,v10817,ser,true
v131,v645,char,true
v132,v118,ser,true
v133,v134,seq,true
v134,v133,preq,true
v137,v149,set,true
v137,v3233,char,true
v137,v5109,set,true
v137,v6883,char,true
v140,v109,set,true
v140,v2393,set,true
v140,v5109,ser,true
v140,v5564,set,true
v140,v10388,char,true
v141,v6086,preq,true
v141,v6620,char,true
v143,v4731,seq,true
v143,v7959,preq,true
v144,v15146,fan,true
v146,v147,preq,true
v146,v3338,alt,true
v146,v12675,char,false
v147,v146,seq,true
v147,v667,seq,true
v147,v740,char,true
v147,v2708,seq,true
v147,v2709,preq,true
v147,v17976,alt,true
v147,v24798,seq,true
v149,v137,set,true
v149,v150,set,true
v149,v5109,set,true
v149,v6884,char,true
v149,v9650,char,true
v150,v149,set,true
v150,v5109,set,true
v151,v32893,preq,true
v152,v739,set,true
v152,v2662,set,true
v155,v3184,side,true
v158,v603,seq,true
v159,v8680,ser,true
v160,v16345,alt,true
v161,v94,par,true
v163,v1111,char,true
v165,v7,par,true
v165,v1701,side,false
v165,v13969,char,false
v165,v17544,side,false
v165,v23403,char,true
v166,v458,char,true
v166,v12793,side,true
v169,v1517,ser,true
v169,v2396,seq,true
v169,v8965,char,true
v169,v12570,ser,true
v169,v21687,fan,true
v169,v47307,char,false
v169,v47313,char,false
v169,v49251,char,false
v172,v1267,char,true
v174,v175,ser,true
v174,v550,set,true
v174,v968,ser,true
v174,v9853,fan,true
v175,v174,ser,true
v175,v18378,fan,true
v175,v23355,side,false
v176,v1384,side,true
v176,v3794,char,false
v176,v13325,set,true
v177,v446,char,true
v177,v6307,fan,true
v177,v25243,char,false
v177,v27592,char,false
v177,v44103,char,false
v177,v53216,char,false
v177,v53592,char,false
v178,v213,seq,true
v179,v591,fan,true
v180,v1858,fan,true
v180,v28896,fan,true
v182,v479,char,true
v182,v491,char,true
v182,v683,ser,true
v182,v684,fan,true
v183,v39292,char,true
v184,v18,ser,true
v184,v235,ser,true
v184,v446,char,true
v184,v3794,char,false
v184,v6113,char,true
v184,v6152,fan,true
v184,v25243,char,false
v184,v26075,char,true
v184,v27592,char,false
v184,v27635,char,false
v184,v53592,char,false
v185,v2295,char,true
v185,v2337,seq,true
v185,v2341,set,true
v185,v34136,alt,true
v185,v47672,fan,true
v186,v446,char,true
v186,v25243,char,false
v187,v984,fan,true
v188,v189,side,true
v188,v1285,seq,true
v189,v188,par,true
v190,v7578,ser,true
v191,v9256,set,true
v192,v915,char,true
v192,v927,char,true
v192,v1136,char,true
v192,v1507,fan,true
v192,v1508,fan,true
v192,v1509,char,true
v192,v8499,ser,true
v192,v11124,fan,true
v192,v11125,fan,true
v192,v11126,fan,true
v192,v11127,fan,true
v192,v11128,fan,true
v192,v11129,fan,true
v192,v11130,fan,true
v192,v14294,char,true
v192,v15658,char,true
v192,v23198,side,false
v192,v23442,side,false
v192,v53265,char,false
v193,v813,char,true
v193,v5575,char,true
v193,v8175,char,true
v193,v34605,alt,true
v194,v28978,fan,true
v195,v541,side,true
v195,v544,side,true
v195,v3861,seq,true
v196,v4975,fan,true
v197,v583,seq,true
v198,v458,char,true
v198,v12793,side,true
v199,v200,seq,true
v199,v6628,fan,true
v200,v199,preq,true
v200,v2301,side,true
v200,v3999,ser,true
v200,v7029,fan,true
v200,v7416,fan,true
v200,v25742,fan,true
v200,v25743,fan,true
v201,v28,preq,true
v201,v202,alt,true
v202,v28,preq,true
v202,v201,alt,true
v202,v6427,fan,true
v202,v8664,char,true
v203,v2295,char,true
v204,v18,ser,true
v204,v20,ser,true
v204,v446,char,true
v204,v5698,char,false
v205,v275,fan,true
v205,v5193,set,true
v206,v843,char,true
