"vid","votecount","votecount_rank"
v29404,479,705
v26664,479,705
v20464,479,705
v19654,478,708
v37,478,708
v22619,478,708
v12992,477,711
v19634,477,711
v26310,476,713
v25384,474,714
v404,474,714
v221,473,716
v1241,472,717
v21789,471,718
v12984,471,718
v22345,471,718
v12949,467,721
v22792,467,721
v58641,465,723
v22728,465,723
v7707,464,725
v47172,462,726
v21384,461,727
v26999,461,727
v725,461,727
v1311,461,727
v10115,459,731
v991,459,731
v971,459,731
v15080,459,731
v22826,458,735
v527,458,735
v10570,457,737
v27747,455,738
v148,454,739
v1497,453,740
v30458,452,741
v22304,452,741
v11944,451,743
v4406,450,744
v14759,450,744
v21739,449,746
v10078,449,746
v142,449,746
v4617,449,746
v19234,448,750
v24803,448,750
v15679,448,750
v10700,446,753
v21,446,753
v4017,445,755
v20527,445,755
v14711,445,755
v123,444,758
v10288,444,758
v147,443,760
v19988,443,760
v26154,443,760
v32514,442,763
v9709,441,764
v22776,440,765
v202,439,766
v765,438,767
v16845,437,768
v27751,435,769
v6498,435,769
v112,435,769
v33036,435,769
v7402,434,773
v6589,434,773
v26814,433,775
v10732,433,775
v5155,433,775
v47175,432,778
v857,431,779
v17427,431,779
v23190,431,779
v3537,430,782
v22045,429,783
v22702,429,783
v30999,428,785
v5127,428,785
v739,427,787
v19233,426,788
v13267,426,788
v26500,426,788
v29144,424,791
v18314,423,792
v2626,422,793
v19755,422,793
v32753,421,795
v27227,421,795
v22725,421,795
v2857,421,795
v14269,421,795
v12589,419,800
v683,419,800
v2315,419,800
v556,418,803
v23060,417,804
v23393,417,804
v20501,416,806
v3249,416,806
v31262,416,806
v18736,415,809
v141,415,809
v56650,414,811
v702,413,812
v32754,413,812
v20161,412,814
v3938,412,814
v4905,411,816
v13912,411,816
v15274,410,818
v8310,410,818
v15972,410,818
v18419,410,818
v18315,408,822
v22987,407,823
v19178,406,824
v27457,406,824
v5744,406,824
v3684,405,827
v311,405,827
v124,404,829
v32785,403,830
v21875,403,830
v16166,401,832
v370,401,832
v28283,399,834
v22713,399,834
v113,398,836
v32795,397,837
v21528,396,838
v14895,395,839
v2306,395,839
v31090,395,839
v1439,394,842
v8095,393,843
v22542,392,844
v1056,391,845
v1292,391,845
v19014,391,845
v127,391,845
v16658,391,845
v8,391,845
v28297,390,851
v19830,390,851
v11719,390,851
v5942,389,854
v737,388,855
v19850,387,856
v19238,386,857
v45706,385,858
v24151,385,858
v24865,385,858
v14646,385,858
v28834,385,858
v37116,384,863
v21620,384,863
v2956,383,865
v30771,383,865
v30998,383,865
v14934,383,865
v20760,383,865
v23199,382,870
