"vn_id","developers"
v10814,"[""p1603""]"
v10815,"[""p1617""]"
v10816,"[""p2816""]"
v10817,"[""p36""]"
v10819,"[""p2910""]"
v1082,"[""p984""]"
v10820,"[""p2910""]"
v10821,"[""p2911""]"
v10822,"[""p2911""]"
v10823,"[""p363""]"
v10824,"[""p363""]"
v10825,"[""p363""]"
v10826,"[""p1778""]"
v10827,"[""p2343""]"
v10828,"[""p2343""]"
v10829,"[""p2034""]"
v1083,"[""p131""]"
v10830,"[""p2034""]"
v10831,"[""p2780""]"
v10832,"[""p2780""]"
v10833,"[""p119"", ""p990""]"
v10834,"[""p990""]"
v10835,"[""p1566""]"
v10836,"[""p3160""]"
v10838,"[""p302""]"
v10839,"[""p44""]"
v1084,"[""p490""]"
v10840,"[""p3513""]"
v10841,"[""p1680""]"
v10842,"[""p561""]"
v10843,"[""p36""]"
v10844,"[""p2356""]"
v10845,"[""p2914""]"
v10846,"[""p685""]"
v10847,"[""p2915""]"
v10848,"[""p1224""]"
v10849,"[""p2781""]"
v1085,"[""p357""]"
v10850,"[""p964""]"
v10851,"[""p819"", ""p950""]"
v10852,"[""p2165""]"
v10853,"[""p2165""]"
v10854,"[""p2743""]"
v10855,"[""p2916""]"
v10856,"[""p2917""]"
v10857,"[""p2918""]"
v10858,"[""p2919""]"
v10859,"[""p2918""]"
v1086,"[""p211""]"
v10860,"[""p2920""]"
v10861,"[""p2921""]"
v10862,"[""p2922""]"
v10863,"[""p2923""]"
v10864,"[""p2923""]"
v10865,"[""p561""]"
v10866,"[""p1698""]"
v10867,"[""p173""]"
v10868,"[""p1527""]"
v10869,"[""p1360"", ""p498""]"
v1087,"[""p987""]"
v10870,"[""p7406""]"
v10871,"[""p2924""]"
v10872,"[""p714""]"
v10873,"[""p714""]"
v10874,"[""p714""]"
v10875,"[""p1753""]"
v10876,"[""p1810""]"
v10877,"[""p981""]"
v10878,"[""p2925""]"
v10879,"[""p2926""]"
v1088,"[""p345""]"
v10880,"[""p2926""]"
v10881,"[""p2927""]"
v10882,"[""p59""]"
v10883,"[""p59""]"
v10884,"[""p2034""]"
v10885,"[""p2034""]"
v10886,"[""p2034""]"
v10887,"[""p2342""]"
v10888,"[""p1050""]"
v10889,"[""p2930""]"
v1089,"[""p242""]"
v10890,"[""p2899""]"
v10891,"[""p2931""]"
v10892,"[""p2899""]"
v10893,"[""p2932""]"
v10894,"[""p1063""]"
v10895,"[""p619""]"
v10896,"[""p3004""]"
v10897,"[""p2933""]"
v10898,"[""p2933""]"
v10899,"[""p1412""]"
v109,"[""p89""]"
v1090,"[""p129""]"
v10900,"[""p2935""]"
v10901,"[""p2935""]"
v10902,"[""p2935""]"
v10903,"[""p2935""]"
v10904,"[""p2935""]"
v10905,"[""p2936""]"
v10906,"[""p2936""]"
v10907,"[""p2937""]"
v10908,"[""p2937""]"
v10909,"[""p2937""]"
v1091,"[""p493""]"
v10910,"[""p2937""]"
v10911,"[""p2937""]"
v10912,"[""p2592""]"
v10913,"[""p2592""]"
v10914,"[""p2938""]"
v10915,"[""p2939""]"
v10916,"[""p2938""]"
v10917,"[""p103""]"
v10918,"[""p1219""]"
v10919,"[""p339""]"
v1092,"[""p5999""]"
v10920,"[""p958""]"
v10922,"[""p306"", ""p567""]"
v10924,"[""p5364""]"
v10925,"[""p2940""]"
v10926,"[""p1961""]"
v10927,"[""p2941""]"
v10928,"[""p539""]"
v1093,"[""p23933"", ""p255""]"
v10931,"[""p781""]"
v10932,"[""p325"", ""p647""]"
v10933,"[""p522""]"
v10934,"[""p2943""]"
v10935,"[""p84""]"
v10937,"[""p2036""]"
v10938,"[""p2036""]"
v10939,"[""p2944""]"
v1094,"[""p19""]"
v10941,"[""p949""]"
v10942,"[""p857""]"
v10943,[]
v10944,"[""p2946""]"
v10945,"[""p2116""]"
v10947,"[""p2947""]"
v10948,"[""p200""]"
v10949,"[""p2948""]"
v1095,"[""p120""]"
v10950,"[""p388""]"
v10951,"[""p388""]"
v10952,"[""p550""]"
v10953,"[""p2310""]"
